title,genre,premiere,runtime,imdb_score,language,year
Over the Moon,Animation/Musical/Adventure,10/23/2020,95,6.4,English,2020
Street Flow,Drama,10/12/2019,96,6.4,French,2019
Strong Island,Documentary,9/15/2017,107,6.4,English,2017
Sturgill Simpson Presents: Sound & Fury,Animation / Musicial,9/27/2019,41,6.4,English,2019
Take Your Pills,Documentary,3/16/2018,87,6.4,English,2018
The Heartbreak Club,Comedy-drama,1/14/2021,101,6.4,Indonesian,2021
The Mars Generation,Documentary,5/5/2017,97,6.4,English,2017
The Occupant,Thriller,3/25/2020,103,6.4,Spanish,2020
The Willoughbys,Animation/Comedy/Adventure,4/22/2020,90,6.4,English,2020
Triple Frontier,Action-thriller,3/13/2019,125,6.4,English,2019
Two Catalonias,Documentary,9/28/2018,116,6.4,Spanish/Catalan,2018
Walk. Ride. Rodeo.,Drama,3/8/2019,99,6.4,English,2019
Wheelman,Action thriller,10/20/2017,82,6.4,English,2017
When We First Met,Romantic comedy,2/9/2018,97,6.4,English,2018
A 3 Minute Hug,Documentary,10/28/2019,28,6.5,English/Spanish,2019
All the Bright Places,Romance,2/28/2020,108,6.5,English,2020
All Together Now,Drama,8/28/2020,93,6.5,English,2020
Altered Carbon: Resleeved,Anime/Science fiction,3/19/2020,74,6.5,Japanese,2020
Antoine Griezmann: The Making of a Legend,Documentary,3/21/2019,60,6.5,French,2019
Canvas ,Animation / Short,12/11/2020,9,6.5,English,2020
Chadwick Boseman: Portrait of an Artist,Documentary,4/17/2021,21,6.5,English,2021
Chopsticks,Comedy,5/31/2019,100,6.5,Hindi,2019
Da 5 Bloods,War drama,6/12/2020,155,6.5,English,2020
Dolly Parton: A MusiCares Tribute,Documentary,4/7/2021,55,6.5,English,2021
Eurovision Song Contest: The Story of Fire Saga,Musical comedy,6/26/2020,123,6.5,English,2020
Gerald's Game,Horror thriller,9/29/2017,103,6.5,English,2017
His House,Thriller,10/30/2020,93,6.5,English,2020
Jingle Jangle: A Christmas Journey,Family/Christmas musical,11/13/2020,119,6.5,English,2020
Life Overtakes Me,Documentary,6/14/2019,40,6.5,English/Swedish,2019
Lust Stories,Drama,6/15/2018,120,6.5,Hindi,2018
Monster,Drama,5/7/2021,98,6.5,English,2021
Mowgli: Legend of the Jungle,Adventure,12/7/2018,104,6.5,English,2018
Nobody Knows I'm Here,Drama,6/24/2020,91,6.5,Spanish,2020
Nobody Speak: Trials of the Free Press,Documentary,6/23/2017,95,6.5,English,2017
Oxygen,Science fiction thriller,5/12/2021,101,6.5,French,2021
Set It Up,Romantic comedy,6/15/2018,105,6.5,English,2018
The Incredible Jessica James,Comedy,7/28/2017,83,6.5,English,2017
Tigertail,Drama,4/10/2020,91,6.5,English/Taiwanese/Mandarin,2020
Tramps,Romance,4/21/2017,83,6.5,English,2017
What Did Jack Do?,Drama / Short,1/20/2020,17,6.5,English,2020
Bad Trip,Hidden-camera prank comedy,3/26/2021,86,6.6,English,2021
Bird Box,Psychological thriller,12/21/2018,124,6.6,English,2018
Bulbbul,Horror,6/24/2020,94,6.6,Hindi,2020
Crazy About Her,Romantic comedy,2/26/2021,102,6.6,Spanish,2021
Elisa & Marcela,Romance,6/7/2019,118,6.6,Spanish,2019
I'll Sleep When I'm Dead,Documentary,8/19/2016,79,6.6,English,2016
I'm Thinking of Ending Things,Psychological thriller,9/4/2020,134,6.6,English,2020
It Takes a Lunatic,Documentary,10/25/2019,126,6.6,English,2019
Milestone,Drama,5/7/2021,98,6.6,Hindi,2021
Recovery Boys,Documentary,6/29/2018,89,6.6,English,2018
ReMastered: Who Killed Jam Master Jay?,Documentary,12/7/2018,58,6.6,English,2018
Shawn Mendes: In Wonder,Documentary,11/23/2020,83,6.6,English,2020
Space Sweepers,Science fiction,2/5/2021,136,6.6,Korean,2021
The American Meme,Documentary,12/7/2018,98,6.6,English,2018
The Angel,Spy thriller,9/14/2018,114,6.6,English,2018
The Crimes That Bind,Crime drama,8/20/2020,99,6.6,Spanish,2020
The Red Sea Diving Resort,Spy thriller,7/31/2019,130,6.6,English,2019
What Would Sophia Loren Do?,Documentary,1/15/2021,32,6.6,English,2021
A Whisker Away,Anime/Fantasy,6/18/2020,104,6.7,Japanese,2020
Ajeeb Daastaans,Drama,4/16/2021,142,6.7,Hindi,2021
Arlo the Alligator Boy,Animated musical comedy,4/16/2021,92,6.7,English,2021
"Bikram: Yogi, Guru, Predator",Documentary,11/20/2019,86,6.7,English,2019
Blame!,Anime/Science fiction,5/20/2017,106,6.7,Japanese,2017
Blue Miracle,Drama,5/27/2021,95,6.7,English,2021
CounterPunch ,Documentary,6/16/2017,91,6.7,English,2017
"Crack: Cocaine, Corruption & Conspiracy",Documentary,1/11/2021,89,6.7,English,2021
Extraction,Action,4/24/2020,117,6.7,English,2020
Giving Voice,Documentary,12/11/2020,90,6.7,English,2020
Hillbilly Elegy,Drama,11/24/2020,117,6.7,English,2020
Hope Frozen: A Quest to Live Twice,Documentary,9/15/2020,80,6.7,Thia/English,2020
Imperial Dreams,Drama,2/3/2017,87,6.7,English,2017
Just Another Christmas,Comedy,12/3/2020,101,6.7,Portuguese,2020
Little Miss Sumo,Documentary,10/28/2019,19,6.7,Japanese,2019
Malcolm & Marie,Romantic drama,2/5/2021,106,6.7,English,2021
"Michael Bolton's Big, Sexy, Valentine's Day Special",Variety Show,2/7/2017,54,6.7,English,2017
Moxie,Drama,3/3/2021,111,6.7,English,2021
Night in Paradise,Drama,4/9/2021,132,6.7,Korean,2021
Paper Lives,Drama,3/12/2021,97,6.7,Turkish,2021
Parchis: The Documentary,Documentary,7/10/2019,106,6.7,Spanish,2019
Tallulah,Comedy-drama,7/29/2016,111,6.7,English,2016
The Old Guard,Superhero/Action,7/10/2020,124,6.7,English,2020
Tony Robbins: I Am Not Your Guru,Documentary,7/15/2016,116,6.7,English,2016
Upstarts,Drama,10/18/2019,112,6.7,Hindi,2019
22-Jul,Drama,10/10/2018,144,6.8,English,2018
7 aÃ±os,Drama,10/28/2016,76,6.8,Spanish,2016
A Futile and Stupid Gesture,Biographical/Comedy,1/26/2018,101,6.8,English,2018
A Life of Speed: The Juan Manuel Fangio Story,Documentary,3/20/2020,92,6.8,Spanish,2020
A Love Song for Latasha,Documentary,9/21/2020,19,6.8,English,2020
All in My Family,Documentary,5/3/2019,39,6.8,English/Mandarin,2019
Always Be My Maybe,Romantic comedy,5/31/2019,102,6.8,English,2019
Becoming,Documentary,5/6/2020,89,6.8,English,2020
Long Live Brij Mohan,Comedy,8/3/2018,105,6.8,Hindi,2018
Calibre,Thriller,6/29/2018,101,6.8,English,2018
Death to 2020,Comedy,12/27/2020,70,6.8,English,2020
GIMS: On the Record,Documentary,9/17/2020,96,6.8,French,2020
Have a Good Trip: Adventures in Psychedelics,Documentary,5/11/2020,85,6.8,English,2020
Heroin(e) ,Documentary,9/12/2017,39,6.8,English,2017
Mercury 13,Documentary,4/20/2018,79,6.8,English,2018
Saving Capitalism,Documentary,11/21/2017,73,6.8,English,2017
Serious Men,Drama,10/2/2020,114,6.8,Hindi,2020
The Boys in the Band,Drama,9/30/2020,121,6.8,English,2020
The Boys in the Band: Something Personal,Aftershow / Interview,9/30/2020,28,6.8,English,2020
The Life Ahead,Drama,11/13/2020,95,6.8,Italian,2020
The Other Side of the Wind,Drama,11/2/2018,122,6.8,English,2018
The Trader,Documentary,2/9/2018,23,6.8,Georgian,2018
To the Bone,Drama,7/14/2017,107,6.8,English,2017
Tony Parker: The Final Shot,Documentary,1/6/2021,98,6.8,French,2021
AK vs AK,Thriller,12/24/2020,108,6.9,Hindi,2020
Amanda Knox,Documentary,9/30/2016,92,6.9,English,2016
Bigflo & Oil: Hip Hop Frenzy,Documentary,10/8/2020,100,6.9,French,2020
Biggie: I Got a Story to Tell,Documentary,3/1/2021,97,6.9,English,2021
Cops and Robbers,Animation / Short,12/28/2020,7,6.9,English,2020
I Don't Feel at Home in This World Anymore,Drama,2/24/2017,96,6.9,English,2017
Laerte-se,Documentary,5/19/2017,100,6.9,Portuguese,2017
Mank,Biopic,12/4/2020,132,6.9,English,2020
Our Souls at Night,Romance,9/29/2017,103,6.9,English,2017
Outlaw King,Historical-epic,11/9/2018,121,6.9,English,2018
Pagglait,Comedy-drama,3/26/2021,114,6.9,Hindi,2021
ReMastered: Who Shot the Sheriff?,Documentary,10/12/2018,57,6.9,English,2018
Seeing Allred,Documentary,2/9/2018,95,6.9,English,2018
Spelling the Dream,Documentary,6/3/2020,83,6.9,English,2020
The Claudia Kishi Club,Documentary,7/10/2020,17,6.9,English,2020
The Half of It,Romance,5/1/2020,105,6.9,English,2020
The Highwaymen,Crime drama,3/29/2019,131,6.9,English,2019
The Lonely Island Presents: The Unauthorized Bash Brothers Experience,Comedy / Musical,5/23/2019,30,6.9,English,2019
The Meyerowitz Stories (New and Selected),Comedy-drama,10/13/2017,112,6.9,English,2017
Feminists: What Were They Thinking?,Documentary,10/12/2018,86,7,English,2018
Gaga: Five Foot Two,Documentary,9/22/2017,100,7,English,2017
I'm No Longer Here: A Discussion with Guillermo del Toro and Alfonso Cuaron,Aftershow / Interview,11/3/2020,14,7,English,2020
Kingdom of Us,Documentary,10/13/2017,109,7,English,2017
"Lorena, Light-Footed Woman",Documentary,11/20/2019,28,7,Spanish,2019
Los Tigres del Norte at Folsom Prison,Documentary,9/15/2019,64,7,Spanish,2019
Ma Rainey's Black Bottom,Drama,12/18/2020,94,7,English,2020
Ma Rainey's Black Bottom: A Legacy Brought to Screen,Aftershow / Interview,12/18/2020,31,7,English,2020
Operation Varsity Blues: The College Admissions Scandal,Documentary,3/17/2021,99,7,English,2021
Pele,Documentary,2/23/2021,108,7,English,2021
ReMastered: Devil at the Crossroads,Documentary,4/26/2019,48,7,English,2019
ReMastered: The Lion's Share,Documentary,5/17/2019,84,7,English,2019
ReMastered: The Miami Showband Massacre,Documentary,3/22/2019,70,7,English,2019
Resurface,Documentary,9/1/2017,27,7,English,2017
Rocko's Modern Life: Static Cling,Animation / Comedy,8/9/2019,45,7,English,2019
Rose Island,Comedy,12/9/2020,117,7,Italian,2020
The Christmas Chronicles,Christmas/Fantasy/Adventure/Comedy,11/22/2018,104,7,English,2018
The Dirt,Biopic,3/22/2019,108,7,English,2019
The Night Comes for Us,Action-thriller,10/19/2018,121,7,Indonesian,2018
13th: A Conversation with Oprah Winfrey & Ava DuVernay,Aftershow / Interview,1/26/2017,36,7.1,English,2017
Angela's Christmas,Animation,11/30/2018,30,7.1,English,2018
Angela's Christmas Wish,Animation,12/1/2020,47,7.1,English,2020
Beats,Drama,6/19/2019,110,7.1,English,2019
Circus of Books,Documentary,4/22/2020,92,7.1,English,2020
Dance Dreams: Hot Chocolate Nutcracker,Documentary,11/27/2020,80,7.1,English,2020
Derren Brown: Sacrifice,Mentalism special,10/19/2018,49,7.1,English,2018
El Pepe: A Supreme Life,Documentary,12/27/2019,73,7.1,Spanish,2019
End Game,Documentary,5/4/2018,40,7.1,English,2018
Evelyn,Documentary,9/10/2019,96,7.1,English,2019
Ferry,Crime drama,5/14/2021,106,7.1,Dutch,2021
Grass Is Greener,Documentary,4/20/2019,97,7.1,English,2019
Guillermo Vilas: Settling the Score,Documentary,10/27/2020,94,7.1,Spanish,2020
Joshua: Teenager vs. Superpower,Documentary,5/26/2017,78,7.1,English,2017
Keith Richards: Under the Influence,Documentary,9/18/2015,81,7.1,English,2015
Knock Down the House,Documentary,5/1/2019,87,7.1,English,2019
Loudon Wainwright III: Surviving Twin,One-man show,11/13/2018,91,7.1,English,2018
My Beautiful Broken Brain,Documentary,3/18/2016,91,7.1,English,2016
One of Us,Documentary,10/20/2017,95,7.1,English,2017
Pieces of a Woman,Drama,1/7/2021,126,7.1,English,2021
"Ram Dass, Going Home",Documentary,4/6/2018,31,7.1,English,2018
ReMastered: Tricky Dick & the Man in Black,Documentary,11/2/2018,58,7.1,English,2018
Rooting for Roona,Documentary,10/15/2020,41,7.1,Bengali,2020
The Devil All the Time,Psychological thriller,9/16/2020,138,7.1,English,2020
The Dig,Drama,1/29/2021,112,7.1,English,2021
The Great Hack,Documentary,7/24/2019,114,7.1,English,2019
The White Tiger,Drama,1/22/2021,125,7.1,English,2021
To All the Boys I've Loved Before,Romantic comedy,8/17/2018,99,7.1,English,2018
American Murder: The Family Next Door,Documentary,9/30/2020,82,7.2,English,2020
Audrie & Daisy,Documentary,9/23/2016,98,7.2,English,2016
First They Killed My Father,Drama,9/15/2017,136,7.2,Khmer/English/French,2017
Fyre: The Greatest Party That Never Happened,Documentary,1/18/2019,97,7.2,English,2019
Into the Inferno,Documentary,10/28/2016,107,7.2,English,2016
LA Originals,Documentary,4/10/2020,92,7.2,English,2020
Ladies First,Documentary,3/8/2018,39,7.2,English/Hindi,2018
Love per Square Foot,Romantic comedy,2/14/2018,133,7.2,Hindi,2018
Paddleton,Drama-Comedy,2/22/2019,89,7.2,English,2019
Private Life,Drama,10/5/2018,124,7.2,English,2018
Seventeen,Coming-of-age comedy-drama,10/18/2019,99,7.2,Spanish,2019
Sometimes,Drama,5/1/2018,101,7.2,Tamil,2018
Soni,Crime drama,1/18/2019,97,7.2,Hindi,2019
The 40-Year-Old Version,Comedy,10/9/2020,124,7.2,English,2020
The Disciple,Drama,4/30/2021,129,7.2,Marathi,2021
The Edge of Democracy,Documentary,6/19/2019,121,7.2,Portuguese,2019
The King,Historical drama,11/1/2019,140,7.2,English,2019
The Road to El Camino: A Breaking Bad Movie,Making-of,10/29/2019,13,7.2,English,2019
The Siege of Jadotville,War,10/7/2016,108,7.2,English,2016
Zion ,Documentary,8/10/2018,11,7.2,English,2018
Dolemite Is My Name,Biopic,10/25/2019,118,7.3,English,2019
El Camino: A Breaking Bad Movie,Crime drama,10/11/2019,121,7.3,English,2019
Extremis,Documentary,9/13/2016,24,7.3,English,2016
Father Soldier Son,Documentary,7/17/2020,100,7.3,English,2020
Get Me Roger Stone,Documentary,5/12/2017,101,7.3,English,2017
I'm No Longer Here,Drama,5/27/2020,105,7.3,Spanish,2020
Mucho Mucho Amor: The Legend of Walter Mercado ,Documentary,7/8/2020,96,7.3,Spanish/English,2020
Octonauts & the Great Barrier Reef,Animation,10/13/2020,47,7.3,English,2020
Okja,Action-adventure,6/28/2017,121,7.3,English/Korean,2017
On My Skin,Crime drama,9/12/2018,100,7.3,Italian,2018
Raat Akeli Hai,Thriller,7/31/2020,149,7.3,Hindi,2020
ReMastered: Massacre at the Stadium,Documentary,1/11/2019,64,7.3,English/Spanish,2019
ReMastered: The Two Killings of Sam Cooke,Documentary,2/8/2019,64,7.3,English,2019
Secrets of the Saqqara Tomb,Documentary,10/28/2020,114,7.3,English/Arabic,2020
Sitara: Let Girls Dream,Animation / Short,3/8/2020,15,7.3,English,2020
Sky Ladder: The Art of Cai Guo-Qiang,Documentary,10/14/2016,79,7.3,English/Mandarin,2016
Team Foxcatcher,Documentary,4/29/2016,90,7.3,English/Russian,2016
The Ballad of Buster Scruggs,Western,11/16/2018,132,7.3,English,2018
The Death and Life of Marsha P. Johnson,Documentary,10/6/2017,105,7.3,English,2017
The Fundamentals of Caring,Comedy-drama,6/24/2016,97,7.3,English,2016
The Other One: The Long Strange Trip of Bob Weir,Documentary,5/22/2015,83,7.3,English,2015
American Factory,Documentary,8/21/2019,110,7.4,English,2019
Fire in Paradise,Documentary,11/1/2019,39,7.4,English,2019
Long Shot,Documentary,9/29/2017,40,7.4,English,2017
Miss Americana,Documentary,1/31/2020,85,7.4,English,2020
Period. End of Sentence.,Documentary,2/12/2019,26,7.4,English/Hindi,2019
Shawn Mendes: Live in Concert,Concert Film,11/25/2020,87,7.4,English,2020
Shirkers,Documentary,10/26/2018,97,7.4,English,2018
The Black Godfather,Documentary,6/7/2019,118,7.4,English,2019
The Irishman: In Conversation,Aftershow / Interview,11/27/2019,23,7.4,English,2019
The Speed Cubers,Documentary,7/29/2020,40,7.4,English,2020
They'll Love Me When I'm Dead,Documentary,11/2/2018,98,7.4,English,2018
Tig,Documentary,7/17/2015,80,7.4,English,2015
"Barbra: The Music, The Mem'ries, The Magic!",Concert Film,11/22/2017,108,7.5,English,2017
Blackpink: Light Up the Sky,Documentary,10/14/2020,79,7.5,Korean,2020
City of Joy,Documentary,9/7/2018,74,7.5,English,2018
Dick Johnson Is Dead,Documentary,10/2/2020,90,7.5,English,2020
Homecoming: A Film by Beyonce ,Documentary,4/17/2019,137,7.5,English,2019
Invader Zim: Enter the Florpus,Animation / Science Fiction,8/16/2019,71,7.5,English,2019
Joan Didion: The Center Will Not Hold,Documentary,10/27/2017,98,7.5,English,2017
John Mulaney & the Sack Lunch Bunch,Variety show,12/24/2019,70,7.5,English,2019
Reversing Roe,Documentary,9/13/2018,99,7.5,English,2018
The White Helmets,Documentary,9/16/2016,40,7.5,English,2016
Athlete A,Documentary,6/24/2020,104,7.6,English,2020
Ludo,Anthology/Dark comedy,11/12/2020,149,7.6,Hindi,2020
Quincy,Documentary,9/21/2018,124,7.6,English,2018
Rolling Thunder Revue: A bob Dylan Story by Martin Scorsere,Documentary,6/12/2019,144,7.6,English,2019
Tell Me Who I Am,Documentary,10/18/2019,85,7.6,English,2019
The Bleeding Edge,Documentary,7/27/2018,100,7.6,English,2018
The Social Dilemma,Documentary,9/9/2020,94,7.6,English,2020
The Two Popes,Drama,12/20/2019,125,7.6,English,2019
"What Happened, Miss Simone?",Documentary,6/26/2015,84,7.6,English,2015
Yeh Ballet,Drama,2/21/2020,117,7.6,Hindi,2020
Anima,Musical / Short,6/27/2019,15,7.7,English,2019
Beasts of No Nation,War drama,10/16/2015,136,7.7,English/Akan,2015
Brene Brown: The Call to Courage,Documentary,4/19/2019,76,7.7,English,2019
Crip Camp: A Disability Revolution,Documentary,3/25/2020,108,7.7,English,2020
"Jim & Andy: The Great Beyond - Featuring a Very Special, Contractually Obligated Mention of Tony Cliffton ",Documentary,11/17/2017,94,7.7,English,2017
Justin Timberlake + The Tennessee Kids,Concert Film,10/12/2016,90,7.7,English,2016
Road to Roma,Making-of,2/11/2020,72,7.7,Spanish,2020
Roma,Drama,12/14/2018,135,7.7,Spanish,2018
If Anything Happens I Love You,Animation / Short,11/20/2020,12,7.8,English,2020
The Irishman,Crime drama,11/27/2019,209,7.8,English,2019
The Trial of the Chicago 7,Drama,10/16/2020,130,7.8,English,2020
A Secret Love,Documentary,4/29/2020,82,7.9,English,2020
Icarus,Documentary,8/4/2017,120,7.9,English,2017
Marriage Story,Drama,12/6/2019,136,7.9,English,2019
The Ivory Game,Documentary,11/4/2016,112,7.9,English,2016
Struggle: The Life and Lost Art of Szukaiski,Documentary,12/21/2018,105,8,English,2018
Chasing Coral ,Documentary,7/14/2017,89,8.1,English,2017
My Octopus Teacher,Documentary,9/7/2020,85,8.1,English,2020
Rising Phoenix,Documentary,8/26/2020,106,8.1,English,2020
13th,Documentary,10/7/2016,100,8.2,English,2016
Disclosure: Trans Lives on Screen,Documentary,6/19/2020,107,8.2,English,2020
Klaus,Animation/Christmas/Comedy/Adventure,11/15/2019,97,8.2,English,2019
Seaspiracy,Documentary,3/24/2021,89,8.2,English,2021
The Three Deaths of Marisela Escobedo,Documentary,10/14/2020,109,8.2,Spanish,2020
Cuba and the Cameraman ,Documentary,11/24/2017,114,8.3,English,2017
Dancing with the Birds,Documentary,10/23/2019,51,8.3,English,2019
Ben Platt: Live from Radio City Music Hall,Concert Film,5/20/2020,85,8.4,English,2020
Taylor Swift: Reputation Stadium Tour,Concert Film,12/31/2018,125,8.4,English,2018
Winter on Fire: Ukraine's Fight for Freedom,Documentary,10/9/2015,91,8.4,English/Ukranian/Russian,2015
Springsteen on Broadway,One-man show,12/16/2018,153,8.5,English,2018
Emicida: AmarElo - It's All For Yesterday,Documentary,12/8/2020,89,8.6,Portuguese,2020
David Attenborough: A Life on Our Planet,Documentary,10/4/2020,83,9,English,2020
